Ques No.,ACC No,Member asking,PARTY,Executive,Date of publication,Due Date,Date replied to,Response,Status,NOTES,
6028,NW6755E,Ms N S Sompa-Masiu ,ANC,Electricity and Energy,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6029,NW6756E,Ms F Hassan,ANC  ,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6030,NW6757E,Ms M L Mofokeng,ANC,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6031,NW6758E,Ms K L N Sangoni,ANC,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6032,NW6759E,Mr S I Subrathie,ANC,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6033,NW6760E,Ms N K Bilankulu,ANC,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6034,NW6761E,Ms N Makasi,ANC," Forestry, Fisheries and the Environment","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 31, 2025",Late,A,,
6035,NW6762E,Ms R S Nalumango,ANC,Land Reform and Rural Development,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6036,NW6763E,Ms A S Hlongo,ANC,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6037,NW6764E,Ms L E Ligaraba,ANC,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6038,NW6765E,Mr S M Maeco,ANC,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6039,NW6766E,Mr S C Sekoati ,ANC,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 27, 2025",Late,A,,
6040,NW6767E,Mr M S Lekganyane,ANC,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, December 18, 2025",Late,A,,
6041,NW6768E,Ms M C Dikgale,ANC,Small Business Development,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6042,NW6769E,Mr C N Malematja,ANC,Small Business Development,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6043,NW6770E,Ms N Makasi,ANC,Public Works and Infrastructure,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6044,NW6771E,Mr M Dlelanga,ANC,Public Works and Infrastructure,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6045,NW6772E,Ms R C Adams,ANC,Land Reform and Rural Development,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6046,NW6773E,Mr M Mrara,ANC,Land Reform and Rural Development,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6047,NW6774E,Ms N A Gcaleka-Mazibuko,ANC,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6048,NW6775E,Mr M Segede,ANC,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, December 04, 2025",Late,A,,
6049,NW6776E,Mr V A Nkosi,ANC,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6050,NW6777E,Ms T V B Mchunu,ANC,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6051,NW6778E,Mr S M Maeco,ANC,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6052,NW6779E,Ms N S Nkopane,ANC,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6053,NW6780E,Mr C N Malematja,ANC,Transport,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6054,NW6781E,Ms N S Nkopane,ANC,Transport,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6055,NW6782E,Ms S W Davids,ANC,Agriculture,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6056,NW6783E,Ms N A Ndalane,ANC,Agriculture,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 12, 2025",Late,A,,
6057,NW6784E,Mr L Mkutu,ANC,Agriculture,"Friday, October 24, 2025","Friday, December 12, 2025","Monday, December 29, 2025",Late,A,Transferred from DTIC 28 November 2025,
6058,NW6785E,Ms S Mosikatsi,ANC,"Trade, Industry and Competition","Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6059,NW6786E,Ms Y Govana,ANC,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6060,NW6787E,Mr W T Letsie,ANC,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6061,NW6788E,Mr S T D Louw,ANC,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6062,NW6789E,Ms K C Tlhong,ANC,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6063,NW6790E,Mr K S Ramaila,ANC,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 03, 2025",Timeous,A,,
6064,NW6791E,Mr T B Munyai,ANC,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6065,NW6793E,Mr T B Munyai,ANC,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6066,NW6794E,Ms F L Shabangu,ANC,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6067,NW6795E,Ms M M Senne,ANC,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6068,NW6796E,Ms M M Senne,ANC,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6069,NW6797E,Ms N E Nkosi,ANC,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6070,NW6798E,Ms A F Muthambi,ANC,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6071,NW6799E,Mr G D Kgabo,ANC,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 03, 2025",Timeous,A,,
6072,NW6800E,Mr S L Dithebe,ANC,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 27, 2025",Late,A,,
6073,NW6801E,Ms B M Kegakilwe,ANC,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6074,NW6802E,Mr K S Ramaila,ANC,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6075,NW6803E,Mr S L Dithebe,ANC  ,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6076,NW6804E,Mr S L Dithebe,ANC  ,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6077,NW6805E,Mr T B Munyai,ANC,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6078,NW6806E,Mr S T D Louw,ANC,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6079,NW6807E,Mr G D Kgabo,ANC,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 05, 2025",Timeous,A,,
6080,NW6808E,Ms A F Muthambi,ANC,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 12, 2025",Late,A,,
6081,NW6809E,Mr M M Hala,ANC,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 25, 2025",Late,A,,
6082,NW6810E,Mr M D Legoete,ANC,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 12, 2025",Late,A,,
6083,NW6811E,Ms M Modise-Mpya,ANC, International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6084,NW6812E,Mr M S Moela,ANC, International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6085,NW6813E,Mr N E Motaung ,ANC,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 25, 2025",Late,A,,
6086,NW6814E,Mr N T Tshotetsi,ANC,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 25, 2025",Late,A,,
6087,NW6815E,Mr M S Chabane,ANC,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6088,NW6816E,Mr M S Moela,ANC,Correctional Services,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6089,NW6817E,Ms J L Mokoena,ANC,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6090,NW6818E,Mr E A Cloete,ANC,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6091,NW6819E,Mr M M Sokopo,ANC,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6092,NW6820E,Mr P Ndamase,ANC,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6093,NW6821E,Dr Z L Mkhize,ANC,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6094,NW6822E,Ms T Mgweba,ANC,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 17, 2025",Late,A,,
6095,NW6823E,Ms M J Aphiri,ANC,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 17, 2025",Late,A,,
6096,NW6824E,Ms M J Aphiri,ANC,Public Service and Administration,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 29, 2025",Late,A,,
6097,NW6825E,Ms W Tikana-Gxotiwe,ANC,Public Service and Administration,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6098,NW6826E,Ms T M Chauke-Adonis,ANC,"Women, Youth and Persons with Disabilities","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 10, 2025",Late,A,,
6099,NW6827E,Mr N T Tshotetsi,ANC,"Women, Youth and Persons with Disabilities","Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6100,NW6828E,Mr R A P Trollip,ActionSA,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6101,NW6829E,Mr R A P Trollip,ActionSA,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6102,NW6830E,Mr R A P Trollip,ActionSA,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 15, 2025",Late,A,,
6103,NW6831E,Ms L M Ngobeni,ActionSA,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 19, 2025",Late,A,,
6104,NW6832E,Ms L M Ngobeni,ActionSA,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6105,NW6833E,Ms L M Ngobeni,ActionSA,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6106,NW6834E,Dr T K S Letlape,ActionSA,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6107,NW6835E,Ms D E James,ActionSA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6108,NW6836E,Ms D E James,ActionSA,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 09, 2025",Late,A,,
6109,NW6837E,Ms M P Kobe,ActionSA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6110,NW6838E,Ms M P Kobe,ActionSA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6111,NW6839E,Mr A D Beesley,ActionSA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6112,NW6840E,Mr A D Beesley,ActionSA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 01, 2025",Late,A,,
6113,NW6841E,Mr S I Gama,MK,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6114,NW6842E,Dr K Litchfield-Tshabalala,MK,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6115,NW6843E,Dr K Litchfield-Tshabalala,MK,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025",LAPSED,LAPSED,L,,
6116,NW6844E,Mr Z E Mthethwa,MK,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6117,NW6845E,Mr M Manyi,MK,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6118,NW6846E,Mr M Manyi,MK,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6119,NW6847E,Mr W M Douglas,MK,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6120,NW6848E,Mr W M Douglas,MK,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6121,NW6849E,Mr W M Douglas,MK,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 05, 2025",Timeous,A,,
6122,NW6850E,Mr A Nchabeleng ,MK,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6123,NW6851E,Mr A Nchabeleng,MK,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, January 06, 2026",Late,A,,
6124,NW6852E,Ms G Mchunu,MK,Public Service and Administration,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 29, 2025",Late,A,,
6125,NW6853E,Mr T S Mjadu,MK,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6126,NW6854E,Mr T S Mjadu,MK,"Science, Technology and Innovation","Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6127,NW6855E,Mr T S Mjadu,MK,Electricity and Energy,"Friday, October 24, 2025","Monday, November 10, 2025","Friday, December 19, 2025",Late,A,"Transferred from STI on Monday, 27 October 2025",
6128,NW6856E,Mr V G Reddy,MK,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6129,NW6857E,Mr M K B Molefe,MK,Electricity and Energy,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6130,NW6858E,Mr M K B Molefe,MK,Electricity and Energy,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6131,NW6859E,Mr M K B Molefe,MK,Electricity and Energy,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 22, 2025",Late,A,,
6132,NW6860E,Mr N M Hadebe,IFP,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 01, 2025",Late,A,,
6133,NW6861E,Ms N H Mhlongo,IFP,Mineral and Petroleum Resources,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6134,NW6862E,Inkosi N Z Buthelezi ,IFP,"Planning, Monitoring and Evaluation","Friday, October 24, 2025","Friday, November 07, 2025",LAPSED,LAPSED,L,,
6135,NW6863E,Mr I Cameron,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6136,NW6864E,Mr I Cameron,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6137,NW6865E,Mr I Cameron,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6138,NW6866E,Mrs M O Clarke,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6139,NW6867E,Mrs M O Clarke,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6140,NW6868E,Mrs M O Clarke,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 27, 2025",Late,A,,
6141,NW6869E,Mr C Hattingh,DA,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6142,NW6870E,Mr C Hattingh,DA,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6143,NW6871E,Mr C Hattingh,DA,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 20, 2025",Late,A,,
6144,NW6872E,Ms B S Masango,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6145,NW6873E,Ms B S Masango,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6146,NW6874E,Ms B S Masango,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6147,NW6875E,Mr K H Wakelin,DA,Small Business Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 22, 2025",Late,A,,
6148,NW6876E,Mr S J Moore,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 27, 2025",Late,A,,
6149,NW6877E,Mr J Engelbrecht,DA,Correctional Services,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6150,NW6878E,Mr J Engelbrecht,DA,Correctional Services,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6151,NW6879E,Mr J Engelbrecht,DA,Correctional Services,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6152,NW6880E,Mr S J Moore,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6153,NW6881E,Mr S J Moore,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Thursday, November 27, 2025",Late,A,,
6154,NW6882E,Dr D C Christians,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6155,NW6883E,Dr D C Christians,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, December 02, 2025",Late,A,,
6156,NW6885E,Ms L R Potgieter,DA,Water and Sanitation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6157,NW6886E,Ms L R Potgieter,DA,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6158,NW6887E,Ms H Ismail,DA,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6159,NW6888E,Ms H Ismail,DA,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 08, 2025",Late,A,,
6160,NW6889E,Ms H Ismail,DA,Tourism,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6161,NW6890E,Dr K W du P le Roux,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6162,NW6891E,Dr K W du P le Roux,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6163,NW6892E,Dr K W du P le Roux,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6164,NW6893E,Mr R Smith,DA,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6165,NW6894E,Mr R Smith,DA,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6166,NW6895E,Mr R Smith,DA,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6167,NW6897E,Mr E M Bath,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6168,NW6898E,Mr E M Bath,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6169,NW6899E,Mr E M Bath,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6170,NW6900E,Ms L R Potgieter,DA,"Sport, Arts and Culture","Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6171,NW6901E,Ms K A Christie,DA,Minister in The Presidency,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
6172,NW6902E,Mr W A S Aucamp,DA,Agriculture,"Friday, October 24, 2025","Friday, November 07, 2025",REMOVED,R,R,,
6173,NW6903E,Ms A L A Abrahams,DA,Social Development,"Friday, October 24, 2025","Friday, November 07, 2025",REMOVED,R,R,Sworn in as Member of the Executive 17 November 2025,
6174,NW6904E,Ms A L A Abrahams,DA,Police,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6175,NW6905E,Ms A L A Abrahams,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025",REMOVED,R,R,Sworn in as Member of the Executive 17 November 2025,
6176,NW6906E,Mr R W T Chance,DA,"Trade, Industry and Competition","Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6177,NW6907E,Mr R W T Chance,DA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 12, 2025",Late,A,,
6178,NW6908E,Mr R W T Chance,DA,"Trade, Industry and Competition","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 10, 2025",Late,A,,
6179,NW6909E,Mr A G Bateman,DA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 17, 2025",Late,A,,
6180,NW6910E,Mr A G Bateman,DA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 17, 2025",Late,A,,
6181,NW6911E,Mr A G Bateman,DA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 17, 2025",Late,A,,
6182,NW6912E,Ms C Labuschagne,DA,Finance,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 24, 2025",Late,A,,
6183,NW6913E,Mr C J Poole,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 24, 2025",Late,A,,
6184,NW6914E,Mr C J Poole,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 03, 2025",Late,A,,
6185,NW6915E,Ms N K Sharif,DA,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6186,NW6916E,Adv G Breytenbach,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 11, 2025",Late,A,,
6187,NW6917E,Adv G Breytenbach,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6188,NW6918E,Adv G Breytenbach,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6189,NW6919E,Mr G Michalakis,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6190,NW6920E,Mr G Michalakis,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6191,NW6921E,Mr G Michalakis,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6192,NW6922E,Ms E R J Spies,DA,Agriculture,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 26, 2025",Late,A,,
6193,NW6923E,Ms E R J Spies,DA,Basic Education,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, December 19, 2025",Late,A,,
6194,NW6924E,Ms E R J Spies,DA,Communications and Digital Technologies,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, January 05, 2026",Late,A,,
6195,NW6925E,Mr P G Atkinson,DA,Cooperative Governance and Traditional Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6196,NW6926E,Mr P G Atkinson,DA,Correctional Services,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, October 31, 2025",Timeous,A,,
6197,NW6927E,Mr P G Atkinson,DA,Defence and Military Veterans,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 12, 2025",Late,A,,
6198,NW6928E,Mr W D Peach,DA,Electricity and Energy,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, December 22, 2025",Late,A,,
6199,NW6929E,Mr W D Peach,DA,Employment and Labour,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 07, 2025",Timeous,A,,
6200,NW6930E,Mr W D Peach,DA,"Forestry, Fisheries and the Environment","Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, December 31, 2025",Late,A,,
6201,NW6932E,Mr E V Baptie,DA,Health,"Friday, October 24, 2025","Friday, November 07, 2025","Monday, November 17, 2025",Late,A,,
6202,NW6933E,Mr E V Baptie,DA,Higher Education,"Friday, October 24, 2025","Friday, November 07, 2025",LAPSED,LAPSED,L,,
6203,NW6934E,Mr N G Myburgh,DA,Home Affairs,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, November 05, 2025",Timeous,A,,
6204,NW6935E,Mr N G Myburgh,DA,Human Settlements,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 28, 2025",Late,A,,
6205,NW6936E,Mr N G Myburgh,DA,International Relations and Cooperation,"Friday, October 24, 2025","Friday, November 07, 2025","Friday, November 14, 2025",Late,A,,
6206,NW6937E,Ms N J Bollman,DA,Justice and Constitutional Development,"Friday, October 24, 2025","Friday, November 07, 2025","Tuesday, November 25, 2025",Late,A,,
6207,NW6938E,Ms N J Bollman,DA,Land Reform and Rural Development,"Friday, October 24, 2025","Friday, November 07, 2025","Wednesday, January 07, 2026",Late,A,,
